地区,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月,2012年12月,2012年11月,2012年10月,2012年9月,2012年8月,2012年7月,2012年6月,2012年5月,2012年4月,2012年3月,2012年2月,2012年1月,2011年12月,2011年11月,2011年10月,2011年9月,2011年8月,2011年7月,2011年6月,2011年5月,2011年4月,2011年3月,2011年2月,2011年1月
广西壮族自治区,1337.02,1185.21,1112.07,1033.48,904.50,850.23,768.34,641.17,548.54,454.06,229.91,,2307.38,2117.50,1979.88,1847.50,1718.15,1619.29,1458.16,1103.74,854.99,665.29,314.33,,3733.93,3413.17,3114.02,2866.55,2549.07,2286.69,2045.53,1500.23,1147.51,800.12,342.88,,3845.62,3353.45,2966.14,2630.69,2287.46,2049.81,1830.64,1338.79,990.94,652.10,260.92,,3814.41,3323.41,2903.64,2574.82,2264.58,1957.00,1738.26,1271.92,958.23,657.44,284.60,,3004.13,2632.57,2303.63,2000.44,1761.73,1557.51,1367.68,997.56,750.44,512.89,233.88,,2683.48,2365.29,2038.68,1761.92,1564.81,1373.39,1217.67,882.68,676.53,464.05,215.59,,2397.99,2025.91,1694.43,1455.77,1266.71,1104.27,941.68,669.09,508.16,351.80,171.13,,1909.09,1634.70,1384.09,1226.55,1070.72,940.11,800.81,564.02,425.00,307.26,162.41,,1838.49,1607.52,1377.26,1216.73,1062.76,930.54,775.49,534.43,404.18,294.11,157.46,,1614.63,1427.08,1213.63,1070.00,938.31,824.20,719.09,521.69,379.95,267.75,135.26,,1554.94,1383.38,1229.94,1083.35,970.82,863.32,769.91,547.38,406.06,307.34,149.50,,1500.46,1354.20,1196.72,1053.34,910.27,789.61,673.60,480.81,358.38,249.11,115.68,
海南省,1170.73,1046.04,951.78,863.61,773.56,695.28,607.22,491.20,398.68,298.76,140.53,,1158.37,1035.99,912.72,828.97,755.89,691.40,591.69,467.12,361.82,285.18,143.72,,1379.62,1214.94,1075.20,936.72,804.91,704.03,604.27,476.81,373.35,278.89,135.58,,1341.67,1158.20,996.50,860.31,726.53,611.52,507.66,387.83,291.78,215.53,105.13,,1336.18,1141.97,987.27,863.35,753.87,659.52,565.33,453.65,358.55,270.43,148.72,,1715.04,1525.03,1339.35,1200.83,1087.28,957.84,823.86,677.14,543.59,413.54,229.91,,2053.11,1748.68,1568.50,1414.62,1251.97,1052.18,893.15,659.23,487.72,355.17,202.74,,1787.60,1582.44,1412.58,1268.28,1097.59,958.89,809.56,611.79,441.73,313.37,177.83,,1704.00,1539.16,1355.80,1227.13,1042.04,898.39,735.02,545.16,395.19,270.74,161.68,,1431.65,1247.48,1089.79,974.92,845.91,721.46,608.84,452.21,362.31,259.08,158.94,,1196.76,1058.23,919.35,814.45,704.96,602.18,500.47,375.15,282.32,198.62,124.69,,886.64,799.18,696.64,621.91,538.88,447.39,387.43,293.10,212.10,153.23,91.89,,663.05,585.91,523.60,464.91,404.62,351.48,287.51,226.40,175.96,128.04,75.46,
重庆市,2792.42,2583.63,2426.40,2239.95,1939.62,1726.79,1486.99,1134.33,958.96,763.00,359.20,,3467.60,3223.16,3087.73,2880.38,2535.75,2320.02,2079.22,1602.71,1268.42,882.84,422.28,,4354.96,3957.58,3546.68,3291.01,2843.84,2474.64,2167.16,1664.02,1268.41,881.75,442.91,,4351.96,3975.23,3621.19,3285.28,2842.09,2493.04,2143.05,1541.06,1113.19,764.55,286.09,,4439.30,4034.95,3669.24,3321.82,2829.97,2454.17,2127.93,1634.12,1236.60,878.23,477.20,,4248.76,3861.25,3469.47,3134.65,2632.02,2272.61,1967.85,1461.72,1099.66,798.12,413.64,,3980.08,3575.30,3193.17,2880.42,2427.33,2085.12,1789.24,1333.59,1015.95,740.66,392.87,,3725.95,3314.24,2964.02,2679.06,2282.36,1992.97,1724.06,1321.91,1012.20,746.81,400.27,,3751.28,3358.13,2989.39,2713.24,2340.13,2012.17,1715.82,1344.25,1006.77,761.92,435.14,,3630.23,3250.59,2820.33,2545.11,2151.24,1836.92,1553.36,1224.35,933.73,687.98,369.07,,3012.78,2645.10,2329.90,2112.19,1774.40,1500.35,1272.28,988.57,747.17,547.25,298.26,,2508.35,2203.04,1949.34,1751.44,1454.35,1218.92,996.16,783.25,584.02,436.62,247.57,,2015.09,1775.45,1594.48,1381.08,1195.78,1003.15,832.11,651.93,488.06,332.08,193.30,
四川省,5320.60,4998.11,4610.95,4181.06,3743.19,3296.42,2827.33,2277.37,1783.91,1323.62,919.21,,7500.01,6980.04,6393.02,5743.25,5074.94,4423.07,3774.67,3051.39,2379.83,1751.26,987.48,,7831.88,7242.06,6607.54,5920.13,5221.04,4507.15,3869.80,2992.63,2312.89,1641.71,922.76,,7315.31,6659.28,6012.51,5340.78,4632.63,3946.09,3360.50,2570.01,1950.19,1332.35,672.61,,6573.24,6011.53,5474.79,4872.45,4215.66,3615.80,3101.11,2392.65,1840.71,1308.31,736.71,,5697.87,5178.32,4657.49,4158.62,3563.38,3076.77,2646.54,2065.46,1571.11,1125.61,652.61,,5149.89,4779.90,4371.46,3977.28,3517.77,3094.62,2691.98,2137.94,1629.36,1179.46,662.38,,5282.64,4918.79,4493.67,4047.62,3502.02,3032.97,2622.61,2088.36,1563.18,1168.74,604.44,,4813.03,4481.22,4058.56,3665.95,3218.71,2770.46,2370.08,1838.64,1384.59,1021.57,535.15,,4380.09,4013.16,3613.63,3255.73,2842.45,2476.83,2107.19,1619.58,1211.08,889.38,470.85,,3853.00,3449.84,3118.30,2811.26,2455.12,2152.46,1823.79,1407.45,1053.69,772.90,407.26,,3266.40,2939.50,2644.55,2352.58,2074.12,1823.05,1551.48,1193.99,911.77,665.33,345.67,,2836.71,2534.39,2270.86,2026.02,1765.13,1511.87,1278.95,979.76,741.99,534.73,285.75,
贵州省,1188.31,1100.53,1011.01,913.95,812.26,728.31,661.27,531.82,659.87,711.14,341.23,,2403.69,2222.70,1985.87,1769.94,1618.16,1492.61,1404.29,1164.64,933.12,679.12,356.98,,3383.06,3125.43,2744.74,2406.72,2074.03,1706.30,1521.59,1258.60,1014.83,738.19,360.00,,3418.75,3162.50,2821.47,2482.36,2149.69,1808.08,1495.14,1098.59,832.18,600.55,247.43,,2990.81,2769.57,2471.90,2194.21,1937.88,1655.51,1404.28,1014.27,778.21,562.90,275.71,,2349.23,2196.54,1915.91,1728.81,1574.89,1387.98,1182.56,879.18,670.08,479.84,233.59,,2201.00,2016.42,1741.23,1557.18,1375.95,1268.30,1119.16,827.86,652.93,489.83,233.83,,2148.96,2000.11,1770.54,1597.78,1405.66,1234.76,1071.63,808.88,608.11,427.42,210.38,,2205.09,2033.65,1804.96,1621.42,1427.52,1248.74,1072.43,806.55,613.80,462.64,247.87,,2187.67,2058.08,1839.57,1642.95,1413.03,1231.24,1057.13,816.18,608.76,434.28,219.03,,1942.54,1778.41,1598.60,1420.67,1211.81,1028.13,859.58,664.77,496.13,383.05,152.24,,1467.60,1329.05,1139.77,1000.32,832.58,699.23,574.79,436.63,322.17,219.81,81.53,,878.67,798.34,721.15,647.31,552.81,451.97,386.66,303.23,227.90,153.76,55.80,
云南省,2066.55,1876.77,1728.97,1587.30,1421.69,1278.50,1134.92,910.44,726.82,573.12,294.12,,3152.02,2891.00,2662.33,2440.28,2172.02,1928.55,1694.96,1326.66,1041.81,774.99,391.69,,4309.93,3970.39,3610.62,3263.80,2902.73,2565.46,2224.28,1698.24,1285.94,889.50,396.31,,4505.19,4018.87,3578.04,3160.05,2699.60,2306.56,1955.69,1449.13,1087.97,749.76,242.63,,4151.41,3658.06,3200.21,2843.93,2407.85,2043.45,1729.11,1313.43,993.70,740.48,337.58,,3247.23,2915.67,2576.96,2192.86,1832.35,1598.34,1342.21,989.21,779.86,571.71,265.39,,2786.25,2552.29,2234.30,1935.99,1644.10,1430.24,1224.33,911.42,705.44,502.78,242.92,,2688.34,2438.32,2128.52,1917.94,1670.08,1480.39,1255.09,892.46,695.92,485.36,240.45,,2669.01,2428.57,2105.72,1889.97,1641.52,1420.23,1227.48,867.98,666.83,478.03,239.49,,2846.65,2573.85,2282.64,2002.28,1724.72,1519.00,1277.99,952.25,695.92,471.20,223.88,,2488.33,2189.48,1989.76,1737.51,1470.03,1272.33,1084.43,810.46,587.03,410.62,218.07,,1782.14,1573.37,1385.43,1246.98,1061.56,923.20,792.27,585.13,431.54,289.67,150.80,,1272.72,1087.40,959.56,844.19,715.18,619.96,519.31,402.51,297.09,193.21,106.20,
西藏自治区,79.16,77.07,73.73,67.08,59.60,51.51,42.04,25.04,16.25,9.20,1.51,,60.68,56.74,50.46,47.21,46.78,46.43,38.84,23.17,11.59,5.68,1.24,,141.97,137.02,120.19,109.72,98.72,88.29,73.40,43.57,22.04,9.93,0.66,,165.47,155.50,128.74,111.28,89.88,72.26,59.40,39.63,17.17,6.64,0.42,,129.56,124.10,105.24,85.79,69.53,54.75,38.05,27.34,12.02,4.57,0.50,,92.60,91.75,75.10,60.87,53.38,40.65,27.66,9.99,5.69,3.42,0.11,,40.36,38.87,34.30,28.81,21.27,19.30,17.72,10.83,5.97,3.39,0.44,,48.54,46.09,44.32,40.07,34.32,24.38,17.44,10.31,5.83,2.10,0.13,,50.02,49.30,43.58,39.10,28.82,20.33,14.46,8.11,4.84,0.76,0.01,,52.91,51.51,45.88,34.60,24.41,13.20,10.28,4.05,1.68,0.12,0.01,,9.68,8.48,7.68,6.29,5.51,4.46,3.31,2.35,1.30,0.63,0.02,,6.87,6.33,5.31,4.67,3.97,3.10,2.21,1.16,0.89,0.46,0.02,,5.13,4.30,3.81,4.28,3.65,2.71,2.60,2.43,1.30,1.03,,
陕西省,2943.30,3338.71,3091.28,2769.37,2473.03,2235.65,1989.10,1473.12,1060.14,706.78,285.94,,4254.79,3979.71,3615.66,3249.19,2850.59,2477.66,2114.81,1463.70,1004.47,674.03,292.52,,4441.00,4122.61,3652.57,3244.62,2825.21,2386.37,2022.17,1401.14,965.59,642.22,283.43,,4404.39,3972.83,3504.45,3098.51,2560.23,2154.32,1807.53,1192.16,821.02,518.58,191.97,,3903.65,3531.72,3167.66,2788.23,2324.71,1985.10,1681.61,1129.66,779.35,518.85,228.91,,3534.67,3241.91,2913.02,2589.95,2160.24,1817.11,1513.87,930.31,630.90,416.67,197.73,,3101.97,2814.84,2459.68,2196.83,1855.42,1581.60,1363.00,870.78,611.00,406.47,184.05,,2736.75,2459.28,2203.98,1997.18,1721.35,1433.09,1170.63,713.77,503.45,340.19,166.26,,2494.29,2272.67,2029.74,1785.42,1537.03,1311.65,1093.67,763.64,523.36,328.57,180.55,,2426.49,2214.31,1961.14,1740.09,1475.76,1235.99,1052.61,732.48,520.30,346.72,182.83,,2240.17,2064.63,1766.74,1561.73,1362.86,1175.01,976.21,665.60,460.11,302.77,162.07,,1835.93,1636.16,1408.35,1226.39,1019.11,856.09,734.92,506.74,335.13,224.65,119.42,,1420.53,1262.77,1141.96,1019.07,881.05,756.44,616.73,407.97,272.82,172.33,75.63,
甘肃省,1263.07,1209.18,1111.16,1008.04,864.20,739.84,613.45,412.16,260.96,143.31,41.30,,1481.66,1417.82,1304.63,1175.62,986.66,817.97,667.04,426.55,263.82,147.74,43.45,,1525.88,1446.30,1310.84,1163.01,961.77,789.62,627.56,398.90,241.53,132.21,38.83,,1355.64,1262.21,1129.51,986.25,813.41,666.25,527.61,333.75,201.76,105.55,31.54,,1257.85,1172.47,1055.73,923.19,739.76,604.99,480.02,304.92,185.40,106.34,34.42,,1116.39,1054.72,965.85,849.49,696.83,572.87,461.23,267.62,167.73,89.10,28.93,,944.52,894.73,818.51,719.20,625.96,520.54,415.90,260.33,140.58,73.07,21.82,,850.03,795.44,725.86,625.01,525.69,436.43,350.45,222.64,130.26,68.21,19.73,,768.06,721.09,654.48,563.76,462.90,378.33,296.15,187.63,103.96,52.87,15.55,,721.47,689.87,629.91,548.81,447.26,366.91,289.76,186.01,103.67,48.42,13.69,,724.65,693.45,627.58,549.31,448.33,368.82,291.30,189.24,116.36,58.20,17.33,,561.02,528.54,477.10,416.27,341.11,278.77,221.60,146.93,89.19,41.18,7.08,,362.88,338.08,313.01,282.06,239.45,198.21,152.17,95.72,55.53,29.04,4.97,
青海省,201.35,199.68,194.62,179.82,161.72,139.80,114.84,81.84,53.31,29.73,0.42,,296.15,295.36,291.09,281.18,236.57,195.03,158.96,77.41,51.87,28.95,0.39,,442.51,438.34,404.94,360.51,310.15,258.06,201.43,129.23,77.90,25.42,0.34,,421.35,409.45,376.70,327.84,280.18,230.15,171.92,95.37,50.46,16.58,0.13,,406.29,394.85,340.25,288.92,250.23,211.80,159.41,77.05,39.88,11.23,0.73,,351.82,344.33,310.66,272.18,262.18,213.38,161.44,99.49,54.57,18.70,1.56,,408.59,407.49,359.87,302.61,251.69,196.20,142.61,82.04,47.87,14.94,3.07,,396.92,392.11,350.55,294.38,250.16,203.15,151.58,91.58,50.54,14.43,2.61,,336.00,335.39,296.77,248.15,211.98,174.56,130.56,82.63,45.26,12.67,2.30,,308.27,304.97,272.35,229.38,198.82,164.20,120.92,79.26,49.18,17.05,1.06,,247.61,244.80,226.92,196.78,156.62,129.36,85.67,60.99,36.96,13.92,0.97,,189.68,185.99,171.00,136.42,112.98,90.35,65.71,41.17,22.37,7.10,,,144.77,143.54,133.75,121.33,107.67,84.31,55.62,33.28,17.25,4.98,0.19,
宁夏回族自治区,436.06,414.29,383.06,351.00,290.12,251.55,217.83,144.64,101.74,61.44,15.89,,419.95,399.20,365.20,341.30,292.23,255.81,217.76,141.09,88.74,54.01,14.19,,466.95,441.25,392.89,354.82,308.97,273.60,223.76,151.21,101.69,54.56,11.90,,433.27,407.95,367.88,323.85,267.97,222.45,179.90,115.43,73.27,34.29,5.36,,403.09,380.16,345.37,306.70,248.84,204.72,157.15,107.40,69.33,34.13,5.37,,449.57,430.18,387.03,342.39,291.30,245.14,198.21,127.81,86.85,37.66,5.76,,652.84,620.38,548.40,479.55,400.42,314.79,254.31,161.71,96.99,48.68,6.50,,728.16,668.00,607.39,533.14,428.14,311.82,248.75,163.31,99.40,49.24,3.83,,633.64,574.50,493.72,423.07,360.33,288.72,211.33,141.81,87.45,38.99,3.61,,654.80,618.86,554.33,479.41,388.02,304.91,227.73,144.98,83.73,33.22,2.83,,558.97,530.80,465.08,399.66,324.26,257.68,189.82,116.14,64.77,25.92,1.59,,429.15,398.83,343.94,292.55,235.73,188.22,142.17,93.86,53.34,20.77,0.98,,330.55,305.20,262.27,220.39,179.47,137.39,101.97,67.25,35.63,12.08,0.46,
新疆维吾尔自治区,1168.53,1138.33,1073.95,976.52,831.11,688.69,535.42,324.20,162.97,60.05,14.84,,1158.86,1125.44,1083.31,1030.37,897.37,779.24,563.16,325.02,165.21,65.07,17.46,,1501.43,1471.43,1359.58,1180.89,940.64,753.83,532.78,309.72,162.22,59.50,16.28,,1260.89,1214.21,1065.53,843.48,616.99,504.06,319.63,175.92,86.48,33.80,8.24,,1074.04,1027.80,896.09,702.06,539.08,400.79,253.59,154.36,78.73,31.67,12.46,,1033.44,983.74,851.46,650.01,520.77,380.48,243.49,122.48,70.15,29.01,13.28,,1037.86,1025.09,949.04,813.43,665.33,520.71,382.13,222.41,103.47,41.44,10.92,,923.40,900.07,822.25,724.00,598.32,470.22,333.55,219.59,103.45,35.31,11.64,,998.88,970.37,899.13,756.60,601.14,474.42,335.62,198.46,93.03,27.60,8.08,,1014.81,973.68,865.14,736.40,589.71,457.47,308.88,178.05,87.37,25.27,7.27,,825.69,789.19,681.56,597.82,477.54,352.85,242.34,145.65,72.88,21.32,6.18,,606.09,570.15,481.09,411.29,330.48,244.75,179.71,112.73,54.35,17.29,4.16,,518.26,494.33,438.17,381.44,308.30,239.62,175.34,105.81,50.62,17.67,2.01,
